tvdb_id	tvdb_season	" imdb_id"	anilist_id	year	Award	notes
375271	1	tv	114535	2022	Best Drama	To Your Eternity (S1)
402412	1	tv	133965	2022	Best Comedy	Komi Can't Communicate (S1 P1)
388593	1	tv	124080	2022	Best Romance	Horimiya (S1)
348545	2	tv	112151	2022	Best Score	Kimetsu no Yaiba (S2)
movie	movie	tt11032374	112151	2022	Best Film	Kimetsu no Yaiba - The Movie : Mugen Train
352408	2	tv	108511,116742	2022	Best Fantasy	That Time I Got Reincarnated as a Slime (S2)
377543	1	tv	113415	2021	Anime of the Year	Jujutsu Kaisen (S1)
371437	1	tv	120209	2021	Best Hero	My Next Life as a Villainess: All Routes Lead to Doom! (S1)
377543	1	tv	113415	2021	Best Villain	Jujutsu Kaisen (S1)
278157	4	tv	20464	2021	Best Boy	Haikyuu!! (S4 P1)
354198	2	tv	112641	2021	Best Girl	Kaguya-sama: Love Is War (S2)
361013	1	tv	107660	2021	Best Opening	Beastars (S1)
377543	1	tv	113415	2021	Best Ending	Jujutsu Kaisen (S1)
305089	2	tv	108632	2021	Best VA Performance (Japanese)	Re: ZERO, Starting Life in Another World (S2 P1)
318893	4	tv	104276	2021	Best VA Performance (English)	My Hero Academia (S4)
370769	1	tv	109298	2021	Best Director	Keep Your Hands Off Eizouken! (S1)
370769	1	tv	109298	2021	Best Animation	Keep Your Hands Off Eizouken! (S1)
368364	1	tv	108463	2021	Best Character Design	Toilet-Bound Hanako-kun (S1)
318893	1	tv	104276	2021	Best Fight Scene	My Hero Academia (S4)
357488	2	tv	111762	2021	Best Drama	Fruits Basket (2019) (S2)
354198	2	tv	112641	2021	Best Comedy	Kaguya-sama: Love Is War (S2)
376729	1	tv	115230	2021	Best Score	Tower of God (S1)
385077	1	tv	116267	2021	Best Couple	TONIKAWA: Over the Moon for You (S1)
305089	2	tv	108632	2021	Best Fantasy	Re: ZERO, Starting Life in Another World (S2 P1)
348545	1	tv	101922	2020	Anime of the Year	Kimetsu no Yaiba (S1)
355774	1	tv	105333	2020	Best Hero	Dr. Stone (S1)
348002	1	tv	101759	2020	Best Villain	The Promised Neverland (S1)
348545	1	tv	101922	2020	Best Boy	Kimetsu no Yaiba (S1)
353712	1	tv	99263	2020	Best Girl	The Rising of the Shield Hero (S1)
307375	1	tv	101338	2020	Best Opening	Mob Psycho 100 (S2)
354198	1	tv	101921	2020	Best Ending	Kaguya-sama: Love Is War (S1)
262954	4	tv	102883	2020	Best VA Performance (Japanese)	JoJo’s Bizzare Adventure (S4)
353712	1	tv	99263	2020	Best VA Performance (English)	The Rising of the Shield Hero (S1)
