imdb_id	anidb_id	mal_id	anilist_id	notes
tt3355698	8147	2994	2994	DEATH NOTE Rewrite
tt10635042	12754	40024	103713	Bishoujo Senshi Sailor Moon: Eternal - Zenpen
tt10443844	13894	37440	102649	PSYCHO-PASS Sinners of the System Case 1: Tsumi to Batsu
tt11078434	13894	37441	104382	PSYCHO-PASS Sinners of the System Case 2: First Guardian
tt11078522	13894	37442	104990	SYCHO-PASS Sinners of the System Case 3: Onshuu no Kanata ni ____
tt2205948	8778	11977	11977	Mahou Shoujo Madoka☆Magica: Hajimari no Monogatari
tt2194724	8778	11979	11979	Mahou Shoujo Madoka☆Magica: Eien no Monogatari
tt2457282	8778	11981	11981	Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari
tt3392330	9125	17679	17677	SHORT PEACE
tt19861160	17343	51716	148149	Bishoujo Senshi Sailor Moon: Cosmos - Zenpen
tt28284638	17343	51716	160850	Bishoujo Senshi Sailor Moon: Cosmos - Kouhen
